"","X1_mean","X2_mean","M","D","prob","ranking"
"g739",64231.1235202494,18889.8755240021,1.76565933701988,45341.2479962473,0.839579166025542,45341.2480306261
"g542",15175.1060850437,52327.2823890676,-1.78585673270459,37152.1763040239,0.839402215725496,-37152.1763469458
"g436",14957.5521453377,51874.3678552067,-1.79414775811218,36916.815709869,0.839313740575473,-36916.8157534665
"g795",133143.011100077,40422.1003561514,1.71976050899176,92720.9107439251,0.838282812740422,92720.9107598739
"g608",7015.39576496905,26347.3116045788,-1.9090593622546,19331.9158396097,0.83757885828589,-19331.9159338712
"g817",63250.693210473,18774.0379358487,1.7523423118365,44476.6552746243,0.836778735190029,44476.6553091447
"g463",22750.2000913709,75211.9893315482,-1.72508342210786,52461.7892401773,0.835970918602862,-52461.78926854
"g11345",74354.5696220757,22536.1505961452,1.72218029940964,51818.4190259304,0.834632251115556,51818.4190545487
"g12259",7092.06675693592,883.913848341515,3.00422844856403,6208.15290859441,0.833412832743499,6208.15363549242
"g248",97983.6109588669,311889.053566397,-1.67042055414425,213905.442607531,0.833093552854285,-213905.442614053
"g688",81875.9939340261,25254.6813811862,1.69688967473259,56621.3125528399,0.832839667641176,56621.3125782671
"g10",37982.8094203898,121477.104607256,-1.67726590324145,83494.2951868661,0.832466533312817,-83494.2952037129
"g14",5564.39724199594,21269.2421995849,-1.93447130994413,15704.844957589,0.831424065240806,-15704.8450767299
"g60",3410.90075512635,14705.112204227,-2.10809310897661,11294.2114491007,0.831100938605939,-11294.2116458411
"g6117",19094.9105493502,4877.7016849448,1.96891472938231,14217.2088644054,0.830873980612402,14217.209000741
"g1066",13315.834529847,2958.5546163497,2.17017841465606,10357.2799134973,0.830650869364518,10357.2801408579
"g528",10270.0793739629,35207.3217254991,-1.77742815156939,24937.2423515362,0.830643175873211,-24937.2424148802
"g105",14266.5548302362,47221.0362734418,-1.72679271552352,32954.4814432056,0.830166179412217,-32954.481488447
"g1110",14220.5522350561,3263.28052392434,2.1235825736786,10957.2717111318,0.830112324973073,10957.2719169131
"g413",39492.2695747377,124460.705188612,-1.65604814030748,84968.4356138741,0.829750730881674,-84968.4356300124
"g94",56047.4535151851,176275.588876929,-1.6531119685694,120228.135361744,0.8296007078012,-120228.135373109
"g11380",7207.07324488624,25872.4818513375,-1.84393304052867,18665.4086064512,0.828808278196646,-18665.4086975312
"g810",295836.939278986,94907.5100632477,1.64020804602716,200929.429215738,0.828792891214033,200929.429222433
"g845",10822.1105161244,2167.51955490594,2.3198649650976,8654.59096121845,0.828742883520542,8654.5912721386
"g421",4397.08138930027,17472.691337405,-1.99048370326313,13075.6099481047,0.828685182335744,-13075.6100996091
"g209",65825.8801531604,205308.03664654,-1.64106329020397,139482.15649338,0.82836590244653,-139482.156503034
"g97",23883.0139976815,76139.7336186505,-1.67266460864819,52256.719620969,0.827923526696415,-52256.7196477388
"g649",5660.23598195454,21152.3610295563,-1.90188459906772,15492.1250476018,0.82788121249423,-15492.1251643438
"g249",250174.571625714,776848.60943154,-1.63469831895672,526674.037805826,0.827761963378981,-526674.037808363
"g263",5437.8901052506,20399.938497497,-1.90744590147977,14962.0483922464,0.82745807047238,-14962.0485138323
