"","X1_mean","X2_mean","M","D","prob","ranking"
"g559",10563.9270856812,52206.513678456,-2.3050835706564,41642.5865927748,0.894480769230769,-41642.5866565726
"g601",701.589085386795,8894.41852093383,-3.66420208225999,8192.82943554703,0.893857692307692,-8192.83025494504
"g138",35338.2221917422,165892.892055703,-2.23095070586293,130554.669863961,0.893846153846154,-130554.669883022
"g536",11046.8390535448,53524.4917303096,-2.27656557541895,42477.6526767648,0.892669230769231,-42477.6527377704
"g10694",8881.02443540921,726.931733545455,3.6108343110072,8154.09270186375,0.892465384615385,8154.09350134717
"g719",33548.7144466777,6566.69031032551,2.35301916139047,26982.0241363521,0.89115,26982.0242389519
"g1015",27054.9152108962,5042.1222369323,2.42378772076732,22012.7929739639,0.891130769230769,22012.7931074033
"g570",70106.9727232678,316751.112436907,-2.17571984161056,246644.13971364,0.890576923076923,-246644.139723236
"g81",2675.15007103329,16640.9919489289,-2.63704970185401,13965.8418778956,0.889153846153846,-13965.8421268613
"g34",54152.6546906408,242119.086206416,-2.16061284223681,187966.431515776,0.888653846153846,-187966.431528193
"g1054",15656.3704600017,2462.50886637207,2.66854897425752,13193.8615936296,0.888353846153846,13193.8618634958
"g12445",51808.2537598613,11223.2514910156,2.20669125712908,40585.0022688456,0.886903846153846,40585.0023288368
"g1413",15633.591593593,2550.88962424993,2.61557687422993,13082.7019693431,0.885526923076923,13082.7022308045
"g496",3016.83306716322,17296.1143166985,-2.51934118953801,14279.2812495353,0.883634615384615,-14279.2814717832
"g131",833.706510557036,8452.51473154449,-3.34176911886631,7618.80822098746,0.881011538461538,-7618.80895387244
"g860",102725.398265816,24272.6703916827,2.08138818139724,78452.727874133,0.880492307692308,78452.7279017431
"g1308",12309.699407241,1839.4245233331,2.74246914794622,10470.2748839079,0.879911538461538,10470.2752430741
"g933",69254.1319649274,16288.5736768909,2.08803987185407,52965.5582880366,0.879307692307692,52965.5583291946
"g346",70961.6357909208,291163.778271792,-2.03671971890701,220202.142480871,0.878588461538461,-220202.14249029
"g9305",23130.5721060119,96498.5304889489,-2.0607060230302,73367.958382937,0.878465384615385,-73367.9584118768
"g741",173912.089256854,42226.1165950978,2.0421507449015,131685.972661756,0.878207692307692,131685.972677591
"g4594",48184.5916915713,11205.57533944,2.1043551554488,36979.0163521312,0.876946153846154,36979.0164120072
"g314",14473.6917160639,60693.2759536781,-2.06810374478338,46219.5842376142,0.876796153846154,-46219.584283883
"g962",44728.582080049,10432.2437080087,2.10014754693934,34296.3383720403,0.876034615384615,34296.338436342
"g722",19092.3346690843,3760.60124770324,2.34395828608726,15331.7334213811,0.875330769230769,15331.7336005565
"g1283",99088.0688776805,24469.3175779609,2.0177374871895,74618.7512997195,0.874869230769231,74618.751327
"g555",20765.2146181364,84324.0810912728,-2.02177590901836,63558.8664731363,0.8742,-63558.8665052922
"g550",40406.9755449977,162081.47187222,-2.00404290531172,121674.496327222,0.874165384615385,-121674.496343726
"g859",39861.1939058461,9347.36990505789,2.09235252964727,30513.8240007882,0.873438461538461,30513.8240725252
"g2",173156.742046743,676156.98814462,-1.96527968456329,503000.246097878,0.872080769230769,-503000.246101717
"g444",2138.47997844521,12607.5151112777,-2.55962634936675,10469.0351328325,0.871157692307692,-10469.0354457404
"g527",36620.2167932217,141645.63113191,-1.95157386733477,105025.414338689,0.869011538461538,-105025.414356821
"g1126",14593.0529760453,2750.85108894861,2.40733178757235,11842.2018870967,0.868838461538462,11842.2021317829
