"","GeneNames","value1","value2","log2.Fold_change.","log2.Fold_change..normalized","p.value","q.value.Benjamini.et.al..1995.","q.value.Storey.et.al..2003.","Signature.q.value.Benjamini.et.al..1995....0.05."
"27","g46",10833,21166,-0.966315825113821,-0.966315825113821,0,0,0,TRUE
"28","g48",6687,11882,-0.829346671218252,-0.829346671218252,0,0,0,TRUE
"29","g49",560,238,1.23446525363702,1.23446525363702,0,0,0,TRUE
"30","g50",781,1782,-1.19010288337994,-1.19010288337994,0,0,0,TRUE
"31","g52",14257,19087,-0.420919927338144,-0.420919927338144,0,0,0,TRUE
"32","g53",10948,22364,-1.0305109102643,-1.0305109102643,0,0,0,TRUE
"33","g54",10814,12876,-0.251784220395679,-0.251784220395679,0,0,0,TRUE
"34","g57",5698,16797,-1.5596760591103,-1.5596760591103,0,0,0,TRUE
"35","g59",8682,11865,-0.45061277282843,-0.45061277282843,0,0,0,TRUE
"36","g61",8335,2997,1.4756631153602,1.4756631153602,0,0,0,TRUE
"37","g63",35925,33562,0.0981594664082088,0.0981594664082088,0,0,0,TRUE
"38","g64",5626,6670,-0.245577208757247,-0.245577208757247,0,0,0,TRUE
"39","g65",56,810,-3.85442317571438,-3.85442317571438,0,0,0,TRUE
"40","g67",2934,4268,-0.540691305151036,-0.540691305151036,0,0,0,TRUE
"41","g68",239,1012,-2.08212676671356,-2.08212676671356,0,0,0,TRUE
"42","g69",7077,1641,2.10856268044691,2.10856268044691,0,0,0,TRUE
"43","g70",105149,121786,-0.211913167044852,-0.211913167044852,0,0,0,TRUE
"44","g74",2768,6514,-1.23469977675918,-1.23469977675918,0,0,0,TRUE
"45","g75",11452,8857,0.370709551470505,0.370709551470505,0,0,0,TRUE
"46","g76",10540,15738,-0.578377346461563,-0.578377346461563,0,0,0,TRUE
"47","g82",5443,1602,1.76452788831638,1.76452788831638,0,0,0,TRUE
"48","g83",572,214,1.41840435037724,1.41840435037724,0,0,0,TRUE
"49","g84",42,287,-2.77258950389693,-2.77258950389693,0,0,0,TRUE
"50","g85",5258,4113,0.354323070117664,0.354323070117664,0,0,0,TRUE
"51","g86",4,399,-6.64024493622235,-6.64024493622235,0,0,0,TRUE
"52","g90",5962,13535,-1.18282660711116,-1.18282660711116,0,0,0,TRUE
"53","g92",24,142,-2.56478461878353,-2.56478461878353,0,0,0,TRUE
"54","g93",252,516,-1.03394733192334,-1.03394733192334,0,0,0,TRUE
"55","g95",45210,54413,-0.267309454313898,-0.267309454313898,0,0,0,TRUE
