V1 V2 V3 V4 V5 V6 V7 V8 V9
GeneNames value1 value2 log2(Fold_change) "log2(Fold_change) normalized" p-value "q-value(Benjamini et al. 1995)" "q-value(Storey et al. 2003)" "Signature(q-value(Benjamini et al. 1995) < 0.005)"
g445 42 42 0 0 1 1 1 FALSE
g446 59 59 0 0 1 1 1 FALSE
g447 176 176 0 0 1 1 1 FALSE
g448 28 28 0 0 1 1 1 FALSE
g449 282 282 0 0 1 1 1 FALSE
g450 22 22 0 0 1 1 1 FALSE
g451 333 333 0 0 1 1 1 FALSE
g452 96 96 0 0 1 1 1 FALSE
g453 3414 3414 0 0 1 1 1 FALSE
g454 362 362 0 0 1 1 1 FALSE
g455 56 56 0 0 1 1 1 FALSE
g456 48 48 0 0 1 1 1 FALSE
g457 1412 1412 0 0 1 1 1 FALSE
g458 139 139 0 0 1 1 1 FALSE
g459 50 50 0 0 1 1 1 FALSE
g460 6 6 0 0 1 1 1 FALSE
g461 517 517 0 0 1 1 1 FALSE
g462 62 62 0 0 1 1 1 FALSE
g463 1222 1222 0 0 1 1 1 FALSE
g464 4 4 0 0 1 1 1 FALSE
g465 18 18 0 0 1 1 1 FALSE
g466 121 121 0 0 1 1 1 FALSE
g467 61 61 0 0 1 1 1 FALSE
g468 11432 11432 0 0 1 1 1 FALSE
g469 2 2 0 0 1 1 1 FALSE
g470 30 30 0 0 1 1 1 FALSE
g471 8144 8144 0 0 1 1 1 FALSE
g472 30 30 0 0 1 1 1 FALSE
g473 8 8 0 0 1 1 1 FALSE
g474 1353 1353 0 0 1 1 1 FALSE
g475 574 574 0 0 1 1 1 FALSE
g476 3 3 0 0 1 1 1 FALSE
g477 2314 2314 0 0 1 1 1 FALSE
g478 180 180 0 0 1 1 1 FALSE
g479 20461 20461 0 0 1 1 1 FALSE
g480 13 13 0 0 1 1 1 FALSE
g481 138 138 0 0 1 1 1 FALSE
g482 201 201 0 0 1 1 1 FALSE
g483 1 1 0 0 1 1 1 FALSE
g484 357 357 0 0 1 1 1 FALSE
g485 455 455 0 0 1 1 1 FALSE
g486 4 4 0 0 1 1 1 FALSE
g487 92 92 0 0 1 1 1 FALSE
g488 10 10 0 0 1 1 1 FALSE
g489 33 33 0 0 1 1 1 FALSE
g490 5 5 0 0 1 1 1 FALSE
g491 390 390 0 0 1 1 1 FALSE
g492 8 8 0 0 1 1 1 FALSE
g493 278 278 0 0 1 1 1 FALSE
g494 24 24 0 0 1 1 1 FALSE
g495 137 137 0 0 1 1 1 FALSE
g496 342 342 0 0 1 1 1 FALSE
g497 560 560 0 0 1 1 1 FALSE
g498 47 47 0 0 1 1 1 FALSE
g499 17 17 0 0 1 1 1 FALSE
g500 301 301 0 0 1 1 1 FALSE
g501 1257 1257 0 0 1 1 1 FALSE
g502 2 2 0 0 1 1 1 FALSE
g503 252 252 0 0 1 1 1 FALSE
g504 1573 1573 0 0 1 1 1 FALSE
g505 56 56 0 0 1 1 1 FALSE
g506 317 317 0 0 1 1 1 FALSE
g507 17 17 0 0 1 1 1 FALSE
g508 164 164 0 0 1 1 1 FALSE
g509 677 677 0 0 1 1 1 FALSE
g510 34 34 0 0 1 1 1 FALSE
g511 10 10 0 0 1 1 1 FALSE
g512 190 190 0 0 1 1 1 FALSE
g513 5 5 0 0 1 1 1 FALSE
g514 362 362 0 0 1 1 1 FALSE
g515 67 67 0 0 1 1 1 FALSE
g516 12 12 0 0 1 1 1 FALSE
g517 30 30 0 0 1 1 1 FALSE
g518 2345 2345 0 0 1 1 1 FALSE
g519 4 4 0 0 1 1 1 FALSE
g520 1373 1373 0 0 1 1 1 FALSE
g521 320 320 0 0 1 1 1 FALSE
g522 8 8 0 0 1 1 1 FALSE
g523 13 13 0 0 1 1 1 FALSE
g524 436 436 0 0 1 1 1 FALSE
g526 35 35 0 0 1 1 1 FALSE
g527 331 331 0 0 1 1 1 FALSE
g528 24 24 0 0 1 1 1 FALSE
g529 50 50 0 0 1 1 1 FALSE
g530 211 211 0 0 1 1 1 FALSE
g531 64 64 0 0 1 1 1 FALSE
g532 1 1 0 0 1 1 1 FALSE
g533 55 55 0 0 1 1 1 FALSE
g534 45 45 0 0 1 1 1 FALSE
g535 8 8 0 0 1 1 1 FALSE
g536 417 417 0 0 1 1 1 FALSE
g537 450 450 0 0 1 1 1 FALSE
g538 155 155 0 0 1 1 1 FALSE
g540 681 681 0 0 1 1 1 FALSE
g541 3090 3090 0 0 1 1 1 FALSE
g542 44 44 0 0 1 1 1 FALSE
g543 36 36 0 0 1 1 1 FALSE
g544 3 3 0 0 1 1 1 FALSE
g545 541 541 0 0 1 1 1 FALSE
g546 615 615 0 0 1 1 1 FALSE
g547 96 96 0 0 1 1 1 FALSE
g548 1 1 0 0 1 1 1 FALSE
g549 50 50 0 0 1 1 1 FALSE
g550 7 7 0 0 1 1 1 FALSE
g551 170 170 0 0 1 1 1 FALSE
g552 3074 3074 0 0 1 1 1 FALSE
g553 9 9 0 0 1 1 1 FALSE
g554 354 354 0 0 1 1 1 FALSE
g555 64 64 0 0 1 1 1 FALSE
g556 534 534 0 0 1 1 1 FALSE
g557 178 178 0 0 1 1 1 FALSE
g558 48 48 0 0 1 1 1 FALSE
g559 9 9 0 0 1 1 1 FALSE
g560 109 109 0 0 1 1 1 FALSE
g561 9 9 0 0 1 1 1 FALSE
g562 418 418 0 0 1 1 1 FALSE
g563 76 76 0 0 1 1 1 FALSE
g564 519 519 0 0 1 1 1 FALSE
g565 31 31 0 0 1 1 1 FALSE
g566 2433 2433 0 0 1 1 1 FALSE
g567 2533 2533 0 0 1 1 1 FALSE
g569 34 34 0 0 1 1 1 FALSE
g570 1400 1400 0 0 1 1 1 FALSE
g571 184 184 0 0 1 1 1 FALSE
g572 5145 5145 0 0 1 1 1 FALSE
g573 876 876 0 0 1 1 1 FALSE
g574 8 8 0 0 1 1 1 FALSE
g575 65 65 0 0 1 1 1 FALSE
g576 2229 2229 0 0 1 1 1 FALSE
g577 8 8 0 0 1 1 1 FALSE
g578 1390 1390 0 0 1 1 1 FALSE
g579 37 37 0 0 1 1 1 FALSE
g580 21 21 0 0 1 1 1 FALSE
g581 4 4 0 0 1 1 1 FALSE
g582 2 2 0 0 1 1 1 FALSE
g583 15 15 0 0 1 1 1 FALSE
g584 35 35 0 0 1 1 1 FALSE
g585 969 969 0 0 1 1 1 FALSE
g586 9 9 0 0 1 1 1 FALSE
g587 72 72 0 0 1 1 1 FALSE
g588 1763 1763 0 0 1 1 1 FALSE
g589 1761 1761 0 0 1 1 1 FALSE
g590 3 3 0 0 1 1 1 FALSE
g591 40 40 0 0 1 1 1 FALSE
g592 43 43 0 0 1 1 1 FALSE
g593 132 132 0 0 1 1 1 FALSE
g594 24 24 0 0 1 1 1 FALSE
g595 2106 2106 0 0 1 1 1 FALSE
g596 828 828 0 0 1 1 1 FALSE
g597 1162 1162 0 0 1 1 1 FALSE
g598 4 4 0 0 1 1 1 FALSE
g599 39 39 0 0 1 1 1 FALSE
g600 1417 1417 0 0 1 1 1 FALSE
g601 823 823 0 0 1 1 1 FALSE
g602 8 8 0 0 1 1 1 FALSE
g603 161 161 0 0 1 1 1 FALSE
