"","GeneNames","value1","value2","log2.Fold_change.","log2.Fold_change..normalized","p.value","q.value.Benjamini.et.al..1995.","q.value.Storey.et.al..2003.","Signature.q.value.Benjamini.et.al..1995....0.05."
"2338","g4180",9318,12093,-0.376079953463778,-0.376079953463778,0,0,0,TRUE
"2339","g4182",58,356,-2.61775243583883,-2.61775243583883,0,0,0,TRUE
"2340","g4185",6280,7562,-0.268003290208245,-0.268003290208245,0,0,0,TRUE
"2341","g4186",29560,47875,-0.695626217553531,-0.695626217553531,0,0,0,TRUE
"2342","g4188",9826,11623,-0.242306345067199,-0.242306345067199,0,0,0,TRUE
"2343","g4189",509,1716,-1.75331199142385,-1.75331199142385,0,0,0,TRUE
"2344","g4190",2682,4037,-0.589974349576035,-0.589974349576035,0,0,0,TRUE
"2345","g4192",2024,5087,-1.32960580416832,-1.32960580416832,0,0,0,TRUE
"2346","g4194",2104,5016,-1.25340264350974,-1.25340264350974,0,0,0,TRUE
"2347","g4196",2,67,-5.06608919045777,-5.06608919045777,0,0,0,TRUE
"2348","g4200",20000,31864,-0.671927384814737,-0.671927384814737,0,0,0,TRUE
"2349","g4201",1422,543,1.38889736181505,1.38889736181505,0,0,0,TRUE
"2350","g4202",457,782,-0.774974442249283,-0.774974442249283,0,0,0,TRUE
"2351","g4204",428,1936,-2.17739625087345,-2.17739625087345,0,0,0,TRUE
"2352","g4210",2433,3966,-0.704948357290419,-0.704948357290419,0,0,0,TRUE
"2353","g4211",5200,17787,-1.77423967419514,-1.77423967419514,0,0,0,TRUE
"2354","g4213",158,626,-1.98623809875552,-1.98623809875552,0,0,0,TRUE
"2355","g4214",2016,14292,-2.82564027508535,-2.82564027508535,0,0,0,TRUE
"2356","g4218",6557,16157,-1.3010515462022,-1.3010515462022,0,0,0,TRUE
"2357","g4219",2481,333,2.89732765282117,2.89732765282117,0,0,0,TRUE
"2358","g4220",40235,116628,-1.53539125392027,-1.53539125392027,0,0,0,TRUE
"2359","g4222",4935,3125,0.659193894906947,0.659193894906947,0,0,0,TRUE
"2360","g4224",5187,13011,-1.32675957422082,-1.32675957422082,0,0,0,TRUE
"2361","g4225",6805,8865,-0.381525469394694,-0.381525469394694,0,0,0,TRUE
"2362","g4226",1055,1880,-0.833489662970452,-0.833489662970452,0,0,0,TRUE
"2363","g4229",11525,12945,-0.167628214583411,-0.167628214583411,0,0,0,TRUE
"2364","g4231",2319,1773,0.387310283747315,0.387310283747315,0,0,0,TRUE
"2365","g4232",863,354,1.28561119909596,1.28561119909596,0,0,0,TRUE
"2366","g4234",3790,9404,-1.31107669059457,-1.31107669059457,0,0,0,TRUE
"2367","g4237",2966,2201,0.430359452563073,0.430359452563073,0,0,0,TRUE
"2368","g4238",24056,39345,-0.709783535299499,-0.709783535299499,0,0,0,TRUE
"2369","g4239",2777,1902,0.546009930958283,0.546009930958283,0,0,0,TRUE
"2370","g4240",614,1013,-0.722323613430959,-0.722323613430959,0,0,0,TRUE
"2371","g4244",24078,38333,-0.670871348155343,-0.670871348155343,0,0,0,TRUE
"2372","g4245",2157,3345,-0.632980034368369,-0.632980034368369,0,0,0,TRUE
"2373","g4246",287,576,-1.00501807476662,-1.00501807476662,0,0,0,TRUE
"2374","g4247",2038,2933,-0.525223019591142,-0.525223019591142,0,0,0,TRUE
"2375","g4249",1530,2156,-0.494825525172491,-0.494825525172491,0,0,0,TRUE
"2376","g4253",158,391,-1.30724404913025,-1.30724404913025,0,0,0,TRUE
"2377","g4254",6557,9242,-0.495169194642507,-0.495169194642507,0,0,0,TRUE
"2378","g4255",6944,9005,-0.37495932834916,-0.37495932834916,0,0,0,TRUE
"2379","g4256",3889,2459,0.661327499838126,0.661327499838126,0,0,0,TRUE
"2380","g4258",19495,34423,-0.82026868048448,-0.82026868048448,0,0,0,TRUE
"2381","g4260",261,3049,-3.54621443843986,-3.54621443843986,0,0,0,TRUE
"2382","g4262",87,526,-2.59597549344357,-2.59597549344357,0,0,0,TRUE
"2383","g4264",10154,20347,-1.00276793131737,-1.00276793131737,0,0,0,TRUE
"2384","g4265",3159,4002,-0.341253230158868,-0.341253230158868,0,0,0,TRUE
"2385","g4269",0,3075,NA,NA,0,0,0,TRUE
"2386","g4270",881,1303,-0.56462315964772,-0.56462315964772,0,0,0,TRUE
"2387","g4272",336,123,1.44980291743952,1.44980291743952,0,0,0,TRUE
"2388","g4276",132,12,3.4594316186373,3.4594316186373,0,0,0,TRUE
"2389","g4277",170,16,3.4093909361377,3.4093909361377,0,0,0,TRUE
"2390","g4278",382,2182,-2.51400655828786,-2.51400655828786,0,0,0,TRUE
"2391","g4284",45,480,-3.41503749927884,-3.41503749927884,0,0,0,TRUE
"2392","g4286",33341,28369,0.232982078995114,0.232982078995114,0,0,0,TRUE
"2393","g4287",645,5409,-3.06799083184288,-3.06799083184288,0,0,0,TRUE
"2394","g4289",3,116,-5.27301849440642,-5.27301849440642,0,0,0,TRUE
"2395","g4290",2055,2794,-0.443193626840419,-0.443193626840419,0,0,0,TRUE
"2396","g4293",347,623,-0.844296500445742,-0.844296500445742,0,0,0,TRUE
