"","GeneNames","value1","value2","log2.Fold_change.","log2.Fold_change..normalized","p.value","q.value.Benjamini.et.al..1995.","q.value.Storey.et.al..2003.","Signature.q.value.Benjamini.et.al..1995....0.05."
"1246","g2083",14582,52954,-1.86055105891537,-1.86055105891537,0,0,0,TRUE
"1247","g2084",7507,17675,-1.23540182692515,-1.23540182692515,0,0,0,TRUE
"1248","g2085",764,1921,-1.33021297562978,-1.33021297562978,0,0,0,TRUE
"1249","g2088",5083,3231,0.65369948018308,0.65369948018308,0,0,0,TRUE
"1250","g2089",133,328,-1.30226956911689,-1.30226956911689,0,0,0,TRUE
"1251","g2093",9920,8186,0.277181453831153,0.277181453831153,0,0,0,TRUE
"1252","g2096",12786,21206,-0.729907517982491,-0.729907517982491,0,0,0,TRUE
"1253","g2097",573,126,2.18511140525699,2.18511140525699,0,0,0,TRUE
"1254","g2098",2667,4471,-0.745379720991716,-0.745379720991716,0,0,0,TRUE
"1255","g2099",2531,3454,-0.44856057541824,-0.44856057541824,0,0,0,TRUE
"1256","g2101",0,1096,NA,NA,0,0,0,TRUE
"1257","g2103",6087,10574,-0.796717960903127,-0.796717960903127,0,0,0,TRUE
"1258","g2107",13134,23481,-0.838187490357662,-0.838187490357662,0,0,0,TRUE
"1259","g2109",2648,4629,-0.805797440484673,-0.805797440484673,0,0,0,TRUE
"1260","g2111",12440,17267,-0.473030962708942,-0.473030962708942,0,0,0,TRUE
"1261","g2112",158,375,-1.24696603720614,-1.24696603720614,0,0,0,TRUE
"1262","g2113",16161,20250,-0.325405436986459,-0.325405436986459,0,0,0,TRUE
"1263","g2114",15989,26070,-0.705310871707205,-0.705310871707205,0,0,0,TRUE
"1264","g2115",2780,3734,-0.425637044615332,-0.425637044615332,0,0,0,TRUE
"1265","g2119",163,1932,-3.5671512246047,-3.5671512246047,0,0,0,TRUE
"1266","g2122",21089,51283,-1.28198997360682,-1.28198997360682,0,0,0,TRUE
"1267","g2123",1012,1565,-0.62895336712567,-0.62895336712567,0,0,0,TRUE
"1268","g2124",5058,7162,-0.501795481657286,-0.501795481657286,0,0,0,TRUE
"1269","g2126",7827,14560,-0.89547900554745,-0.89547900554745,0,0,0,TRUE
"1270","g2127",34472,51081,-0.567361765037242,-0.567361765037242,0,0,0,TRUE
"1271","g2129",21175,14901,0.506952816948528,0.506952816948528,0,0,0,TRUE
"1272","g2131",48775,156906,-1.68568674328667,-1.68568674328667,0,0,0,TRUE
"1273","g2133",5544,7171,-0.371247060119263,-0.371247060119263,0,0,0,TRUE
"1274","g2135",3783,5583,-0.561509779730931,-0.561509779730931,0,0,0,TRUE
"1275","g2136",124,340,-1.45519462575083,-1.45519462575083,0,0,0,TRUE
"1276","g2138",42067,57889,-0.460600298778266,-0.460600298778266,0,0,0,TRUE
"1277","g2139",36779,67202,-0.869621915488421,-0.869621915488421,0,0,0,TRUE
"1278","g2140",7528,9013,-0.259740762626711,-0.259740762626711,0,0,0,TRUE
"1279","g2143",2506,9912,-1.98378977281874,-1.98378977281874,0,0,0,TRUE
"1280","g2146",19187,10424,0.880220166315246,0.880220166315246,0,0,0,TRUE
