"","X1_mean","X2_mean","M","D","prob","ranking"
"g275",22394.2276054658,86929.678723045,-1.95672190530908,64535.4511175792,0.866265291990459,-64535.4511472432
"g136",54598.5710148889,208243.324985032,-1.93133515458999,153644.753970143,0.866130645533585,-153644.753982282
"g96",1698.77125501708,11365.2591275731,-2.7420670707241,9666.48787255602,0.865719012079711,-9666.48826147347
"g343",23073.3169165399,89344.712232192,-1.95315693318871,66271.3953156522,0.865618988997461,-66271.395344434
"g3065",4814.40786276896,22466.3439452753,-2.22233509393969,17651.9360825064,0.865361237208587,-17651.9362223996
"g113",7780.1837120585,32567.4089208844,-2.06555281594955,24787.2252088259,0.863687774101716,-24787.2252948886
"g6536",26705.6063489206,6127.88335515078,2.12368190009375,20577.7229937698,0.863003000692467,20577.723103355
"g1931",8700.30780947059,35747.1069778759,-2.03868814065521,27046.7991684054,0.862910671693468,-27046.7992452398
"g1104",58853.3589824209,15109.8098907613,1.9616392487864,43743.5490916596,0.862868354235593,43743.5491356436
"g508",1350.84278082481,9860.90651209009,-2.86786050455935,8510.06373126528,0.862864507193968,-8510.06421449455
"g527",55093.2163155478,205781.220417035,-1.9011647336495,150688.004101487,0.862856813110718,-150688.004113481
"g2680",2973.11169061287,15630.4734396705,-2.39431591058406,12657.3617490577,0.862856813110718,-12657.3619755167
"g1024",316489.154235138,85448.3813200598,1.88903099302024,231040.772915078,0.862391321074094,231040.772922801
"g967",9529.25787900699,1281.48556133738,2.89454664039586,8247.77231766961,0.861648842040471,8247.77282558858
"g380",105941.076459551,391197.003127659,-1.88463324522844,285255.926668109,0.861568054166346,-285255.926674334
"g800",30637.617298226,7348.84898368137,2.05971389247399,23288.7683145447,0.861321843502347,23288.7684056277
"g554",239654.600191901,873438.079775371,-1.86574879759778,633783.479583471,0.860556282218974,-633783.479586217
"g1101",102536.198108193,27580.7585843759,1.89439926826226,74955.4395238174,0.85989074401785,74955.4395477566
"g825",28872.823471299,6944.42213111537,2.05578564274164,21928.4013401836,0.859748403477726,21928.4014365485
"g909",63420.4441948604,17033.9595004756,1.89653415728546,46386.4846943849,0.857378625836732,46386.4847331553
"g373",165306.896357273,590786.938355175,-1.83749101709391,425480.041997902,0.857097791798107,-425480.04200187
"g114",12333.6452191832,46853.9555987026,-1.92557159863139,34520.3103795194,0.857086250673232,-34520.3104332244
"g840",8082.00118364697,976.964629595287,3.04833432644742,7105.03655405168,0.85600523197661,7105.03720797807
"g940",12433.2030657142,2245.96195082968,2.46879262199794,10187.2411148845,0.855605139647611,10187.2414140301
"g507",2969.96775861716,14825.4622699548,-2.31955791526422,11855.4945113377,0.855305070400862,-11855.4947382514
"g163",36898.2338790231,131644.30272872,-1.83502141715658,94746.0688496972,0.855193506193737,-94746.0688674674
"g1212",44078.9745572323,11658.2524530663,1.91873911391998,32420.722104166,0.855151188735862,32420.7221609439
"g199",1107704.70398166,3914032.5121613,-1.82108240619295,2806327.80817964,0.854947295529738,-2806327.80818023
"g7127",2603.17569245061,13503.6300867463,-2.37500269915145,10900.4543942957,0.854458721243364,-10900.4546530297
"g747",42931.4393787969,11395.9994109035,1.91350709118855,31535.4399678934,0.853593136877741,31535.4400259473
"g471",5835.13778404387,24002.3974779428,-2.04033988899115,18167.259693899,0.852300530891744,-18167.2598084728
"g395",6179.92232624043,24943.8186549373,-2.01302173407559,18763.8963286969,0.850984842655997,-18763.896436677
"g254",8509.57593506398,32392.5735594426,-1.92850394968194,23882.9976243786,0.850080787874125,-23882.99770224
"g702",119139.302977555,34426.2354285215,1.79106909043821,84713.0675490338,0.849003616219127,84713.0675679679
"g304",4146.84630234583,17993.6327206975,-2.11739999892307,13846.7864183516,0.848361160267754,-13846.7865802442
"g1281",19761.7085477219,4692.69637716124,2.07421865963286,15069.0121705606,0.84800338539663,15069.0123133166
"g451",271609.524996331,921755.080733832,-1.76284938957978,650145.555737501,0.847657151650381,-650145.555739891
"g546",102855.831194424,347917.566099974,-1.75812193466566,245061.734905549,0.847272447487882,-245061.734911856
"g4129",5310.10114075975,327.576144239914,4.01883713857333,4982.52499651984,0.846922366700008,4982.52661728936
"g973",100011.620715636,29219.5999394296,1.77515931103831,70792.020776206,0.846910825575133,70792.0207984627
"g228",1595.02149915854,9600.5747376355,-2.58954490515738,8005.55323847696,0.84611448795876,-8005.55365729515
"g955",50987.2411291463,14471.9490116549,1.81687704712909,36515.2921174914,0.84594521812726,36515.2921626922
"g624",92293.2676661594,309656.480325981,-1.74637131891554,217363.212659821,0.84587597137801,-217363.212666837
"g1027",53987.6002303887,15411.4489209412,1.80862558538875,38576.1513094475,0.845433561591136,38576.1513518458
"g1276",20706.9841010996,5111.53273753837,2.0182895796339,15595.4513635613,0.845148880510887,15595.45149416
"g677",14828.8792464477,3259.43066687985,2.18571767197059,11569.4485795678,0.845079633761637,11569.4487860324
"g11142",15718.6120012346,54621.6409427611,-1.79699882709485,38903.0289415265,0.844433330768639,-38903.0289830298
"g4419",38196.6777932527,128375.2657233,-1.74884819425931,90178.587930047,0.844256366853889,-90178.5879470049
"g862",33154.8588494605,9040.52520070919,1.87474182081969,24114.3336487513,0.843929368315765,24114.3337216261
"g422",24684.058075677,83800.8942603195,-1.76338604535014,59116.8361846425,0.843510040778641,-59116.8362109424
"g10751",29689.1978128525,8024.17458309679,1.88751321263553,21665.0232297557,0.843444641071016,21665.0233119783
"g316",81270.6420891886,268840.108500146,-1.72594219354147,187569.466410957,0.843236900823267,-187569.466418898
"g877",30356.7593732757,8226.86832630683,1.88360253124603,22129.8910469688,0.843109948449642,22129.891127131
"g1273",223210.787876989,67255.8973915686,1.7306740726555,155954.89048542,0.843009925367392,155954.890495023
"g6",4784.01652014373,19365.417864318,-2.0171883554118,14581.4013441743,0.842340540124644,-14581.401483703
"g2408",15427.2743029651,3532.25068143744,2.12682354966105,11895.0236215277,0.84204431791952,11895.0238116651
"g472",6393.70970194893,24288.6663664575,-1.92555813012587,17894.9566645085,0.84182888358852,-17894.9567681068
"g593",2924.90473334527,13494.0237482055,-2.20585906519899,10569.1190148602,0.841132569054397,-10569.1192450504
