"GeneNames"	"value1"	"value2"	"log2(Fold_change)"	"log2(Fold_change) normalized"	"p-value"	"q-value(Benjamini et al. 1995)"	"q-value(Storey et al. 2003)"	"Signature(q-value(Benjamini et al. 1995) < 0.05)"
g4514	15	13	0.206450877467427	0.206450877467427	0.705337390614278	0.722721779361072	0.0591141427082263	FALSE
g8692	15	13	0.206450877467427	0.206450877467427	0.705337390614278	0.722721779361072	0.0591141427082263	FALSE
g6176	598	611	-0.0310268956206254	-0.0310268956206254	0.7084922181419	0.725810792258335	0.0593691533836994	FALSE
g5948	31	34	-0.133266530863464	-0.133266530863464	0.709766051389398	0.72705824754728	0.059471191497735	FALSE
g3359	304	295	0.043356369194381	0.043356369194381	0.713069386470277	0.730384288127034	0.05974325167574	FALSE
g3232	1203	1221	-0.0214265578113277	-0.0214265578113277	0.714662314836269	0.731958001987479	0.0598719767657489	FALSE
g3487	14	16	-0.192645077942396	-0.192645077942396	0.714899549219497	0.732114124581273	0.059882379392533	FALSE
g6395	16	14	0.192645077942396	0.192645077942396	0.714899549219497	0.732114124581273	0.059882379392533	FALSE
g10605	92	97	-0.0763508861301148	-0.0763508861301148	0.716068824156825	0.733224580756771	0.0599755791233174	FALSE
g479	250	242	0.0469210473874924	0.0469210473874924	0.718341816661152	0.735493874585857	0.0601612005756969	FALSE
g12963	94	99	-0.0747677684019719	-0.0747677684019719	0.718900970035171	0.73600818736307	0.06020326982361	FALSE
g8927	60	64	-0.0931094043914813	-0.0931094043914813	0.719414235342913	0.736475442505196	0.0602414898976266	FALSE
g4746	3254	3283	-0.0128004989004538	-0.0128004989004538	0.719833066574559	0.736845957801007	0.0602717969413668	FALSE
g11305	10519	10571	-0.00711430006164804	-0.00711430006164804	0.720292571853534	0.737199779143545	0.0603007384696267	FALSE
g11120	95	100	-0.0740005814437765	-0.0740005814437765	0.720285646539737	0.737250958163895	0.0603007384696267	FALSE
g10785	772	758	0.0264029990969874	0.0264029990969874	0.720403563106901	0.737255108442735	0.0603052642409232	FALSE
g11927	17143	17077	0.00556504913880751	0.00556504913880751	0.721254316355595	0.738067435543655	0.0603717101697612	FALSE
g11520	61	65	-0.0916304754655677	-0.0916304754655677	0.721557307301625	0.738319147404871	0.0603922994476507	FALSE
g2494	37	34	0.121990524378611	0.121990524378611	0.721775036435306	0.738454412153839	0.060400977724001	FALSE
g7635	34	37	-0.121990524378611	-0.121990524378611	0.721775036435306	0.738454412153839	0.060400977724001	FALSE
g8832	477	488	-0.0328918815573758	-0.0328918815573758	0.723259173370592	0.73988516432176	0.0605203949506826	FALSE
g7100	199	192	0.0516621198224927	0.0516621198224927	0.723327887338011	0.739897009559814	0.0605213638557504	FALSE
g4896	17	15	0.18057224564182	0.18057224564182	0.723587226430511	0.740045378476948	0.060528719645393	FALSE
g7174	17	15	0.18057224564182	0.18057224564182	0.723587226430511	0.740045378476948	0.060528719645393	FALSE
g8629	17	15	0.18057224564182	0.18057224564182	0.723587226430511	0.740045378476948	0.060528719645393	FALSE
g11633	680	693	-0.0273206059995115	-0.0273206059995115	0.725707037472615	0.742037594573262	0.0606964573117168	FALSE
g3568	67	63	0.0888092669578553	0.0888092669578553	0.725700212177441	0.74208920938865	0.0606964573117168	FALSE
g8595	68	64	0.0874628412503391	0.0874628412503391	0.727703533124798	0.744020271116859	0.0608586343268323	FALSE
g10626	39	36	0.115477217419937	0.115477217419937	0.728999763327385	0.74528672417223	0.0609622264013778	FALSE
g10387	1503	1522	-0.0181233495871815	-0.0181233495871815	0.729751823037551	0.745996693111485	0.0610202997385366	FALSE
g12202	18	16	0.169925001442312	0.169925001442312	0.73152609234986	0.747751432309629	0.0611638321600908	FALSE
g10265	351	342	0.0374747054186635	0.0374747054186635	0.732436283321981	0.748622720522466	0.0612351009316509	FALSE
g6057	71	67	0.0836579290469102	0.0836579290469102	0.733460100523737	0.749609999351464	0.0613158573889211	FALSE
g10111	159	153	0.0554951125917036	0.0554951125917036	0.734087296852486	0.750191800366137	0.0613634469729385	FALSE
g2992	210	217	-0.0473057147783571	-0.0473057147783571	0.734789534558347	0.750850191156837	0.0614173013717107	FALSE
g5495	41	38	0.109624491174499	0.109624491174499	0.735689549540747	0.751710562297039	0.06148767715936	FALSE
g2081	5060	5094	-0.00966157469252238	-0.00966157469252238	0.735806211483155	0.751770448813165	0.0614925756973804	FALSE
g2684	69	73	-0.0813001021018485	-0.0813001021018485	0.737101068386204	0.753033988292943	0.061595929450151	FALSE
g2291	5	4	0.321928094887362	0.321928094887362	0.738622706672756	0.754528993564108	0.061718216412814	FALSE
g12511	19	17	0.160464672193246	0.160464672193246	0.738817900552042	0.754668860399822	0.0617296571019183	FALSE
g2709	219	226	-0.0453919028140142	-0.0453919028140142	0.740011084821736	0.755828026535332	0.0618244734270961	FALSE
